,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'YouthBks'}),frozenset({'ChildBks'}),0.2475,0.423,0.165,0.6666666666666667,1.5760441292356189,0.060307500000000014,1.7310000000000003
1,frozenset({'ChildBks'}),frozenset({'YouthBks'}),0.423,0.2475,0.165,0.3900709219858156,1.5760441292356187,0.060307500000000014,1.23375
2,frozenset({'ChildBks'}),frozenset({'CookBks'}),0.423,0.431,0.256,0.6052009456264775,1.4041785281356787,0.073687,1.4412395209580837
3,frozenset({'CookBks'}),frozenset({'ChildBks'}),0.431,0.423,0.256,0.5939675174013921,1.4041785281356787,0.073687,1.4210685714285713
4,frozenset({'ChildBks'}),frozenset({'DoItYBks'}),0.423,0.282,0.184,0.43498817966903075,1.542511275422095,0.06471400000000001,1.2707698744769873
5,frozenset({'DoItYBks'}),frozenset({'ChildBks'}),0.282,0.423,0.184,0.6524822695035462,1.5425112754220949,0.06471400000000001,1.6603469387755103
6,frozenset({'ChildBks'}),frozenset({'RefBks'}),0.423,0.2145,0.1515,0.35815602836879434,1.6697250739803933,0.0607665,1.2238176795580111
7,frozenset({'RefBks'}),frozenset({'ChildBks'}),0.2145,0.423,0.1515,0.7062937062937062,1.669725073980393,0.0607665,1.9645476190476185
8,frozenset({'ChildBks'}),frozenset({'ArtBks'}),0.423,0.241,0.1625,0.38416075650118203,1.5940280352746143,0.060557000000000014,1.2324644913627638
9,frozenset({'ArtBks'}),frozenset({'ChildBks'}),0.241,0.423,0.1625,0.6742738589211619,1.5940280352746143,0.060557000000000014,1.7714267515923567
10,frozenset({'ChildBks'}),frozenset({'GeogBks'}),0.423,0.276,0.195,0.4609929078014185,1.6702641587007916,0.078252,1.3432105263157896
11,frozenset({'GeogBks'}),frozenset({'ChildBks'}),0.276,0.423,0.195,0.7065217391304347,1.6702641587007914,0.078252,1.9660740740740734
12,frozenset({'YouthBks'}),frozenset({'CookBks'}),0.2475,0.431,0.162,0.6545454545454545,1.5186669479012866,0.0553275,1.6471052631578946
13,frozenset({'CookBks'}),frozenset({'YouthBks'}),0.431,0.2475,0.162,0.37587006960556846,1.5186669479012866,0.0553275,1.2056784386617099
14,frozenset({'YouthBks'}),frozenset({'DoItYBks'}),0.2475,0.282,0.1155,0.4666666666666667,1.6548463356973997,0.04570500000000001,1.34625
15,frozenset({'DoItYBks'}),frozenset({'YouthBks'}),0.282,0.2475,0.1155,0.40957446808510645,1.6548463356973997,0.04570500000000001,1.2745045045045045
16,frozenset({'YouthBks'}),frozenset({'ArtBks'}),0.2475,0.241,0.101,0.4080808080808081,1.693281361331154,0.04135250000000001,1.2822696245733787
17,frozenset({'ArtBks'}),frozenset({'YouthBks'}),0.241,0.2475,0.101,0.41908713692946065,1.6932813613311541,0.04135250000000001,1.295375
18,frozenset({'YouthBks'}),frozenset({'GeogBks'}),0.2475,0.276,0.1205,0.48686868686868684,1.7640169814082856,0.052189999999999986,1.4109448818897639
